case_id,margin_level,response,persistence,policy,period,period_profit,total_d2c_quantity,total_retailer_quantity,average_exposure,average_order_state,capacity_used,listed_A,listed_B,listed_C,listed_D,d2c_quantity_A,d2c_quantity_B,d2c_quantity_C,d2c_quantity_D,retailer_quantity_R1_A,retailer_quantity_R1_C,retailer_quantity_R2_A,retailer_quantity_R2_D,retailer_quantity_R3_B,retailer_quantity_R3_C,retailer_quantity_R3_D,exposure_R1,exposure_R2,exposure_R3,order_state_R1,order_state_R2,order_state_R3
C012,1.0,0.2,0.9,myopic,2,2154.7000000000003,100.0,170.00000000000006,0.4444444444444444,0.991111111111111,270.00000000000006,1,1,0,0,50.0,50.0,0.0,0.0,30.35,29.7,34.65,29.7,25.0,5.700000000000057,14.9,0.5,0.5,0.3333333333333333,0.99,0.99,0.9933333333333333
C012,1.0,0.2,0.9,myopic,3,2154.43,100.0,170.0,0.4444444444444444,0.983111111111111,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.665,29.43,34.335,29.43,25.0,6.329999999999998,14.809999999999995,0.5,0.5,0.3333333333333333,0.981,0.981,0.9873333333333333
C012,1.0,0.2,0.9,lookahead,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C012,1.0,0.2,0.9,lookahead,2,2154.7,100.0,170.0,0.4444444444444444,0.991111111111111,270.0,1,1,0,0,50.0,50.0,0.0,0.0,39.6,29.7,25.4,20.5,25.0,14.9,14.9,0.5,0.5,0.3333333333333333,0.99,0.99,0.9933333333333333
C012,1.0,0.2,0.9,lookahead,3,2154.43,100.0,170.0,0.4444444444444444,0.983111111111111,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.665,29.43,34.335,29.43,25.0,6.329999999999998,14.809999999999995,0.5,0.5,0.3333333333333333,0.981,0.981,0.9873333333333333
C013,1.0,0.4,0.4,myopic,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C013,1.0,0.4,0.4,myopic,2,2151.4,100.0,170.0,0.4444444444444444,0.8933333333333334,270.0,1,1,0,0,50.0,50.0,0.0,0.0,34.2,26.4,30.8,26.4,25.0,13.4,13.8,0.5,0.5,0.3333333333333333,0.88,0.88,0.92
C013,1.0,0.4,0.4,myopic,3,2108.52,100.0,163.96,0.4444444444444444,0.8506666666666668,263.96000000000004,1,1,0,0,50.0,50.0,0.0,0.0,33.28,24.96,29.12,24.96,25.0,13.320000000000002,13.320000000000002,0.5,0.5,0.3333333333333333,0.8320000000000001,0.8320000000000001,0.8880000000000001
C013,1.0,0.4,0.4,lookahead,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C013,1.0,0.4,0.4,lookahead,2,2151.4,100.0,170.0,0.4444444444444444,0.8933333333333334,270.0,1,1,0,0,50.0,50.0,0.0,0.0,35.2,26.4,29.8,26.0,25.0,13.8,13.8,0.5,0.5,0.3333333333333333,0.88,0.88,0.92
